ID,Model,Year,Engine_Volume,Engine_Type,Horse_Power,Gearbox,Transmitter,Mileage,Price
1,Nissan Kicks,2021,1.6,Benzin,136.0,Variator,Ön,57000,29 900 AZN
2,Lynk & Co 01,2024,1.5,Plug-in Hibrid,262.0,Avtomat,Ön,0,34 900 USD
3,FAW Tiger VN,2023,2.3,Dizel,118.0,Mexaniki,Arxa,0,35 500 AZN
4,VGV U75 Plus,2024,2.0,Benzin,224.0,Avtomat,Ön,0,39 800 AZN
5,Changan Qiyuan A06,2024,1.5,Plug-in Hibrid,335.0,Avtomat,Ön,0,20 950 USD
6,BMW 528,2016,2.0,Benzin,245.0,Avtomat,Arxa,121000,24 900 USD
7,Audi A7,2018,3.0,Benzin,338.0,Robot,Tam,79000,55 500 USD
8,Kia Sorento,2011,2.0,Dizel,184.0,Avtomat,Ön,206000,27 500 AZN
9,Honda Accord,2023,2.0,Hibrid,212.0,Avtomat,Ön,23335,28 500 USD
10,Kia Stinger,2017,2.0,Benzin,247.0,Avtomat,Arxa,104607,33 000 AZN
11,Daewoo Nexia,2009,1.5,Benzin,80.0,Mexaniki,Ön,580000,4 300 AZN
12,Hyundai Tucson,2007,2.0,Dizel,140.0,Avtomat,Ön,269500,17 300 AZN
13,Kia Sorento,2014,2.2,Dizel,200.0,Avtomat,Ön,196000,39 600 AZN
14,Kia Carnival,2018,2.2,Dizel,202.0,Avtomat,Ön,143000,65 000 AZN
15,Volkswagen Tiguan,2014,2.0,Dizel,140.0,Avtomat,Ön,117000,24 000 AZN
16,LADA (VAZ) 2106,1986,1.5,Benzin,65.0,Mexaniki,Arxa,99000,2 700 AZN
17,Mercedes C 200,1998,2.0,Benzin,136.0,Avtomat,Arxa,298000,14 500 AZN
18,Volkswagen Golf,1988,1.6,Benzin,75.0,Mexaniki,Ön,546320,2 700 AZN
19,Mercedes E 220 d,2003,2.2,Dizel,150.0,Avtomat,Arxa,320000,17 500 AZN
20,Toyota Land Cruiser,2021,3.5,Benzin,415.0,Avtomat,Tam,3909,99 000 USD
21,Land Rover Discovery,2010,3.0,Dizel,249.0,Avtomat,Tam,350000,38 500 AZN
22,ZEEKR 001,2023,,Elektro,544.0,Reduktor,Tam,0,59 900 USD
23,Ford Fusion (North America),2018,1.5,Benzin,184.0,Avtomat,Ön,205996,20 300 AZN
24,Chevrolet Equinox,2022,1.5,Benzin,170.0,Avtomat,Ön,13000,42 900 AZN
25,Toyota Land Cruiser,2012,4.5,Dizel,235.0,Avtomat,Tam,256000,44 900 USD
26,Mercedes C 200,2002,2.0,Benzin,163.0,Avtomat,Arxa,100000,11 500 AZN
27,Kia Stinger,2021,2.0,Benzin,247.0,Avtomat,Arxa,31000,26 900 USD
28,Toyota Land Cruiser,2012,4.0,Benzin,282.0,Avtomat,Tam,149000,36 900 USD
29,Honda Civic,2017,1.5,Benzin,182.0,Variator,Ön,89000,15 800 USD
30,Audi RS7,2013,4.0,Benzin,560.0,Avtomat,Tam,88888,40 900 USD
31,Hyundai Elantra,2017,1.6,Benzin,132.0,Avtomat,Ön,117000,27 700 AZN
32,Saipa 132,2014,1.3,Benzin,69.0,Mexaniki,Ön,265500,6 950 AZN
33,Tesla Model 3,2022,,Elektro,351.0,Reduktor,Ön,25000,34 800 USD
34,BMW 520,2018,2.0,Dizel,190.0,Avtomat,Arxa,128000,36 700 USD
35,Land Rover Range Rover,2019,3.0,Benzin,400.0,Avtomat,Tam,23000,99 000 USD
36,BMW X5 M,2015,4.4,Benzin,575.0,Robot,Tam,70000,51 500 USD
37,Yamaha R15 V4,2024,0.2,Benzin,18.0,Mexaniki,Arxa,0,6 999 AZN
38,Skoda Kamiq,2023,1.6,Benzin,110.0,Avtomat,Ön,0,42 900 AZN
39,Li Auto L9,2023,1.5,Plug-in Hibrid,450.0,Avtomat,Tam,0,67 500 USD
40,LADA (VAZ) Niva,2024,1.7,Benzin,83.0,Mexaniki,Tam,0,20 500 AZN
41,Hyundai Grandeur,2016,2.2,Dizel,202.0,Avtomat,Ön,158010,33 800 AZN
42,Kia Rio,2009,1.4,Benzin,97.0,Mexaniki,Ön,204300,12 500 AZN
43,Toyota Prius,2013,1.8,Hibrid,99.0,Variator,Ön,418660,20 500 AZN
44,LADA (VAZ) 2107,2011,1.6,Benzin,75.0,Mexaniki,Arxa,99000,8 500 AZN
45,GAZ 330232-744,2019,2.4,Benzin,100.0,Mexaniki,Arxa,75000,28 500 AZN
46,Hyundai Accent,2020,1.6,Benzin,140.0,Avtomat,Ön,77000,25 900 AZN
47,Toyota Land Cruiser,2007,4.5,Benzin,212.0,Avtomat,Tam,174000,22 900 AZN
48,Kia Optima,2014,2.0,Benzin,274.0,Avtomat,Ön,210000,21 111 AZN
49,Hyundai Elantra,2017,1.6,Benzin,132.0,Avtomat,Ön,117000,27 700 AZN
50,Saipa 132,2014,1.3,Benzin,69.0,Mexaniki,Ön,265500,6 950 AZN
51,Tesla Model 3,2022,,Elektro,351.0,Reduktor,Ön,25000,34 800 USD
52,BMW 520,2018,2.0,Dizel,190.0,Avtomat,Arxa,128000,36 700 USD
53,Land Rover Range Rover,2019,3.0,Benzin,400.0,Avtomat,Tam,23000,99 000 USD
54,BMW X5 M,2015,4.4,Benzin,575.0,Robot,Tam,70000,51 500 USD
55,Hyundai Elantra,2012,1.8,Benzin,150.0,Avtomat,Ön,167425,21 000 AZN
56,Land Rover Range Rover,2015,5.0,Benzin,510.0,Avtomat,Tam,117000,84 500 USD
57,Mercedes E 220 d,2015,2.2,Dizel,170.0,Avtomat,Arxa,189000,26 900 USD
58,Kia K7,2020,2.2,Dizel,202.0,Avtomat,Ön,99500,35 800 USD
59,Toyota Land Cruiser Prado,2012,2.7,Benzin,163.0,Avtomat,Tam,163000,24 900 USD
60,Kia Sportage,2014,2.0,Dizel,184.0,Avtomat,Ön,139000,28 500 AZN
61,Hyundai Accent,2017,1.6,Benzin,140.0,Avtomat,Ön,123919,18 200 AZN
62,Land Rover Discovery,2015,3.0,Dizel,340.0,Avtomat,Tam,149000,33 900 USD
63,Haval H6,2020,2.0,Benzin,224.0,Avtomat,Ön,91000,39 920 AZN
64,MG RX8,2021,2.0,Benzin,220.0,Avtomat,Tam,41140,51 500 AZN
65,Land Rover Discovery,2018,2.0,Dizel,240.0,Avtomat,Tam,69000,47 900 USD
66,Land Rover Range Rover,2016,3.0,Benzin,340.0,Avtomat,Tam,120000,59 900 USD
67,Kia K3,2015,1.6,Benzin,130.0,Avtomat,Ön,116000,23 800 AZN
68,Audi A6,2017,2.0,Benzin,252.0,Avtomat,Ön,102066,24 300 USD
69,Land Rover Range Rover,2007,4.2,Benzin,396.0,Avtomat,Tam,175000,20 900 USD
70,Toyota FJ Cruiser,2013,4.0,Benzin,260.0,Avtomat,Tam,120000,35 000 USD
71,Toyota Highlander,2023,2.5,Hibrid,249.0,Avtomat,Tam,0,59 500 USD
72,Toyota Land Cruiser Prado,2006,4.0,Benzin,249.0,Avtomat,Tam,287000,31 500 AZN
73,Chery Tiggo 7 Pro e+,2023,1.5,Plug-in Hibrid,326.0,Avtomat,Ön,0,49 900 AZN
74,Mercedes C 180,1999,1.8,Benzin,122.0,Avtomat,Arxa,321456,11 900 AZN
75,Kia Sorento,2014,2.0,Dizel,184.0,Avtomat,Ön,176000,32 900 AZN
76,Lexus ES 300h,2023,2.5,Hibrid,218.0,Avtomat,Ön,0,49 700 USD
77,Toyota Camry,2011,2.4,Benzin,167.0,Avtomat,Ön,196000,21 500 AZN
78,DongFeng Aeolus Huge,2023,1.5,Hibrid,245.0,Avtomat,Ön,0,43 900 AZN
79,BMW 330,2017,2.0,Benzin,249.0,Avtomat,Arxa,98200,22 000 USD
80,Hyundai Elantra,2011,1.8,Benzin,150.0,Avtomat,Ön,133000,19 500 AZN
81,Kia Cerato,2015,1.8,Benzin,149.0,Avtomat,Ön,117000,21 200 AZN
82,LADA (VAZ) 2107,2011,1.6,Benzin,75.0,Mexaniki,Arxa,75000,7 300 AZN
83,Skoda Rapid,2020,1.6,Benzin,140.0,Avtomat,Ön,18125,27 000 AZN
84,Kia Sorento,2015,2.0,Dizel,184.0,Avtomat,Ön,207000,37 000 AZN
85,Kia K3,2015,1.6,Benzin,130.0,Avtomat,Ön,116000,23 800 AZN
86,Audi A6,2017,2.0,Benzin,252.0,Avtomat,Ön,102066,24 300 USD
87,Land Rover Range Rover,2007,4.2,Benzin,396.0,Avtomat,Tam,175000,20 900 USD
88,Toyota FJ Cruiser,2013,4.0,Benzin,260.0,Avtomat,Tam,120000,35 000 USD
89,Toyota Highlander,2023,2.5,Hibrid,249.0,Avtomat,Tam,0,59 500 USD
90,Toyota Land Cruiser Prado,2006,4.0,Benzin,249.0,Avtomat,Tam,287000,31 500 AZN
91,Land Rover Range Rover,2012,5.0,Benzin,510.0,Avtomat,Tam,200000,29 000 USD
92,LADA (VAZ) 2107,2007,1.6,Benzin,75.0,Mexaniki,Arxa,99000,6 400 AZN
93,Kia Sorento,2016,2.0,Dizel,184.0,Avtomat,Ön,271500,36 000 AZN
94,Kia K5,2022,2.0,Benzin,150.0,Avtomat,Ön,4100,54 900 AZN
95,Hyundai Getz,2008,1.6,Benzin,106.0,Avtomat,Ön,275200,11 300 AZN
96,Toyota Corolla,2014,1.6,Benzin,124.0,Avtomat,Ön,219000,23 900 AZN
97,Daewoo Gentra,2014,1.5,Benzin,107.0,Avtomat,Ön,233320,11 900 AZN
98,BMW 420,2014,2.0,Dizel,245.0,Avtomat,Arxa,103000,29 000 USD
99,Toyota Prius,2007,1.5,Hibrid,76.0,Variator,Ön,233000,8 300 AZN
100,Kia Sorento,2011,2.0,Dizel,184.0,Avtomat,Tam,280000,25 900 AZN
101,KamAz 53212,2007,11.0,Dizel,195.0,Mexaniki,Tam,125000,48 000 AZN
102,Kia Sorento,2016,2.0,Dizel,186.0,Avtomat,Ön,148300,41 500 AZN
103,Mercedes E 220 d,2021,2.0,Dizel,194.0,Avtomat,Arxa,60000,53 000 USD
104,Land Rover Range Rover,2011,5.0,Benzin,510.0,Avtomat,Tam,168000,24 900 USD
105,Jeep Wrangler,2019,2.0,Benzin,272.0,Avtomat,Tam,30000,52 500 USD
106,BMW 120,2008,2.0,Dizel,177.0,Mexaniki,Arxa,260000,19 000 AZN
107,Mercedes GLS 450 4MATIC,2016,3.0,Benzin,333.0,Avtomat,Tam,73000,47 500 USD
108,Mitsubishi Pajero,2008,3.0,Benzin,188.0,Avtomat,Tam,179000,24 500 AZN
109,GWM Poer,2023,2.0,Dizel,164.0,Avtomat,Tam,0,53 900 AZN
110,Mercedes E 300 e 4MATIC,2023,2.0,Plug-in Hibrid,320.0,Avtomat,Tam,0,95 500 USD
111,GAZ 12 ЗИМ,1954,3.5,Benzin,90.0,Mexaniki,Arxa,5465,75 000 AZN
112,Mercedes CLA 250,2019,2.0,Benzin,211.0,Avtomat,Ön,40000,45 500 USD
113,Kia Sorento,2016,2.0,Dizel,184.0,Avtomat,Tam,180000,39 000 AZN
114,Hyundai Genesis,2015,3.0,Benzin,249.0,Avtomat,Arxa,144000,43 000 AZN
115,Honda Insight,2010,1.3,Hibrid,88.0,Variator,Ön,214800,13 950 AZN
116,Chevrolet Lacetti,2007,1.6,Benzin,109.0,Avtomat,Ön,320000,9 100 AZN
117,Kia Sorento,2010,2.0,Dizel,184.0,Avtomat,Ön,280000,28 800 AZN
118,Audi R8,2017,5.2,Benzin,650.0,Avtomat,Tam,18350,178 000 USD
119,Toyota Camry,2022,2.5,Benzin,204.0,Avtomat,Ön,29700,40 900 USD
120,Ford Fusion (North America),2020,1.5,Benzin,181.0,Avtomat,Ön,35000,25 750 AZN
121,Kia Sorento,2016,2.0,Dizel,186.0,Avtomat,Ön,148300,41 500 AZN
122,Mercedes E 220 d,2021,2.0,Dizel,194.0,Avtomat,Arxa,60000,53 000 USD
123,Land Rover Range Rover,2011,5.0,Benzin,510.0,Avtomat,Tam,168000,24 900 USD
124,Jeep Wrangler,2019,2.0,Benzin,272.0,Avtomat,Tam,30000,52 500 USD
125,BMW 120,2008,2.0,Dizel,177.0,Mexaniki,Arxa,260000,19 000 AZN
126,Mercedes GLS 450 4MATIC,2016,3.0,Benzin,333.0,Avtomat,Tam,73000,47 500 USD
127,Mitsubishi Pajero,2008,3.0,Benzin,188.0,Avtomat,Tam,179000,24 500 AZN
128,Land Rover Discovery,2017,3.0,Dizel,306.0,Avtomat,Tam,34000,51 000 USD
129,Hyundai Sonata,2019,2.0,Benzin,245.0,Avtomat,Ön,110102,33 500 AZN
130,Land Rover RR Sport,2020,3.0,Benzin,400.0,Avtomat,Tam,43000,69 900 USD
131,Land Rover Range Rover,2019,3.0,Benzin,340.0,Avtomat,Tam,24000,79 900 USD
132,Audi Q2 e-tron,2021,,Elektro,201.0,Reduktor,Tam,14000,22 500 USD
133,Hyundai Grandeur,2014,2.2,Dizel,202.0,Avtomat,Ön,209550,31 000 AZN
134,BMW X6,2015,3.0,Benzin,306.0,Avtomat,Tam,78000,39 900 USD
135,Ravon Nexia R3,2020,1.5,Benzin,107.0,Mexaniki,Ön,87000,13 500 AZN
136,KamAz 53212,2006,11.0,Dizel,195.0,Mexaniki,Tam,125000,50 000 AZN
137,Audi TT,2013,2.0,Benzin,211.0,Avtomat,Tam,65000,45 000 AZN
138,DAF 95 XF,1999,13.0,Dizel,480.0,Mexaniki,Arxa,1000000,13 900 AZN
139,Honda Insight,2022,1.5,Hibrid,109.0,Avtomat,Ön,76000,20 700 USD
140,Mercedes G 63 AMG,2023,4.0,Benzin,585.0,Avtomat,Tam,1771,283 000 USD
141,Lexus GX 460,2014,4.6,Benzin,296.0,Avtomat,Tam,133000,42 800 USD
142,LADA (VAZ) 2107,2005,1.5,Benzin,65.0,Mexaniki,Arxa,54400,4 500 AZN
143,Toyota Land Cruiser,2011,4.0,Benzin,275.0,Avtomat,Tam,47000,34 800 USD
144,Honda Insight,2023,1.5,Hibrid,109.0,Avtomat,Ön,12000,22 000 USD
145,Peugeot 5008,2022,2.0,Dizel,150.0,Avtomat,Ön,0,54 900 AZN
146,Land Rover Range Rover,2023,3.0,Plug-in Hibrid,440.0,Avtomat,Tam,0,278 000 USD
147,C.Moto CM400R-F8,2023,0.4,Benzin,45.0,Mexaniki,Arxa,0,6 250 AZN
148,Toyota RAV4,2023,2.5,Hibrid,218.0,Avtomat,Ön,0,34 940 USD
149,Kia Cerato,2015,2.0,Benzin,150.0,Avtomat,Ön,69500,22 600 AZN
150,BMW X5,2015,3.0,Benzin,306.0,Avtomat,Tam,135000,40 000 USD
151,Volkswagen Jetta,2008,1.6,Benzin,102.0,Avtomat,Ön,199000,10 900 AZN
152,Mercedes E 200,2013,2.0,Benzin,184.0,Avtomat,Arxa,195200,22 000 USD
153,Toyota Prius,2007,1.5,Hibrid,76.0,Variator,Ön,290000,11 000 AZN
154,LADA (VAZ) Granta,2021,1.6,Benzin,106.0,Avtomat,Ön,94815,16 300 AZN
155,Infiniti QX56,2011,5.6,Benzin,405.0,Avtomat,Tam,171240,25 500 USD
156,Toyota Prius,2012,1.8,Hibrid,99.0,Variator,Ön,270370,22 700 AZN
157,BMW X6,2015,3.0,Benzin,306.0,Avtomat,Tam,78000,39 900 USD
158,Ravon Nexia R3,2020,1.5,Benzin,107.0,Mexaniki,Ön,87000,13 500 AZN
159,KamAz 53212,2006,11.0,Dizel,195.0,Mexaniki,Tam,125000,50 000 AZN
160,Audi TT,2013,2.0,Benzin,211.0,Avtomat,Tam,65000,45 000 AZN
161,DAF 95 XF,1999,13.0,Dizel,480.0,Mexaniki,Arxa,1000000,13 900 AZN
162,Honda Insight,2022,1.5,Hibrid,109.0,Avtomat,Ön,76000,20 700 USD
163,Mercedes G 63 AMG,2023,4.0,Benzin,585.0,Avtomat,Tam,1771,283 000 USD
164,Lexus GX 460,2014,4.6,Benzin,296.0,Avtomat,Tam,133000,42 800 USD
165,LADA (VAZ) 2107,2005,1.5,Benzin,65.0,Mexaniki,Arxa,54400,4 500 AZN
166,Toyota Land Cruiser,2011,4.0,Benzin,275.0,Avtomat,Tam,47000,34 800 USD
167,Honda Insight,2023,1.5,Hibrid,109.0,Avtomat,Ön,12000,22 000 USD
168,BMW 530,2017,2.0,Benzin,249.0,Avtomat,Arxa,74000,32 500 USD
169,Land Rover Range Rover,2009,3.6,Dizel,272.0,Avtomat,Tam,290000,26 500 USD
170,Toyota Prius,2008,1.5,Hibrid,76.0,Variator,Ön,470000,9 900 AZN
171,Volkswagen Passat,2005,2.0,Benzin,115.0,Avtomat,Ön,239000,10 200 AZN
172,Kia Sorento,2014,2.0,Dizel,184.0,Avtomat,Ön,176000,34 500 AZN
173,Kia Rio,2007,1.4,Benzin,97.0,Avtomat,Ön,304410,12 000 AZN
174,BMW X5,2014,3.0,Benzin,306.0,Avtomat,Tam,74000,39 000 USD
175,Ford Fusion (North America),2015,1.5,Benzin,181.0,Avtomat,Ön,183000,17 700 AZN
176,Hyundai ix35,2012,2.0,Benzin,163.0,Avtomat,Tam,158000,24 200 AZN
177,BMW 528,2012,2.0,Benzin,245.0,Avtomat,Arxa,204000,25 500 AZN
178,Toyota Prius,2009,1.8,Benzin,99.0,Variator,Ön,3500,13 000 AZN
179,Nissan Maxima,2004,3.0,Benzin,200.0,Avtomat,Ön,338396,6 500 AZN
180,Mercedes E 300,2020,2.0,Benzin,249.0,Avtomat,Arxa,28000,70 000 USD
181,Toyota Highlander,2023,2.5,Hibrid,250.0,Avtomat,Tam,0,64 000 USD
182,Nissan Kicks,2021,1.6,Benzin,136.0,Variator,Ön,57000,29 900 AZN
183,KAIYI X3,2023,1.6,Benzin,165.0,Avtomat,Ön,0,29 900 AZN
184,Nissan Kicks,2023,1.6,Benzin,123.0,Variator,Ön,0,34 900 AZN
185,Toyota Land Cruiser,2012,4.0,Benzin,282.0,Avtomat,Tam,201000,37 350 USD
186,Hyundai County,2010,3.9,Dizel,170.0,Mexaniki,Arxa,371000,58 444 AZN
187,Ford Tourneo Custom,2015,2.2,Dizel,155.0,Mexaniki,Ön,206000,23 000 AZN
188,Hyundai Sonata,2007,2.0,Dizel,150.0,Mexaniki,Ön,190000,15 800 AZN
189,Mercedes E 230,1997,2.3,Benzin,150.0,Avtomat,Arxa,412000,11 000 AZN
190,Land Rover RR Velar,2021,2.0,Benzin,250.0,Avtomat,Tam,28000,64 200 USD
191,Chevrolet Cruze,2013,1.4,Benzin,140.0,Avtomat,Ön,257113,13 000 AZN
192,BMW 730,1999,2.9,Dizel,184.0,Avtomat,Arxa,220000,9 500 AZN
193,BMW 528,2012,2.0,Benzin,245.0,Avtomat,Arxa,204000,25 500 AZN
194,Toyota Prius,2009,1.8,Benzin,99.0,Variator,Ön,3500,13 000 AZN
195,Nissan Maxima,2004,3.0,Benzin,200.0,Avtomat,Ön,338396,6 500 AZN
196,Mercedes E 300,2020,2.0,Benzin,249.0,Avtomat,Arxa,28000,70 000 USD
197,Nissan Patrol,2022,4.0,Benzin,275.0,Avtomat,Tam,22000,87 000 USD
198,Maserati Grecale,2024,2.0,Hibrid,330.0,Avtomat,Tam,0,87 900 EUR
199,Hyundai Sonata,2020,1.6,Benzin,183.0,Avtomat,Ön,52677,39 800 AZN
200,Land Rover RR Sport,2017,3.0,Benzin,340.0,Avtomat,Tam,61000,48 900 USD
201,Kia Sorento,2015,2.0,Dizel,184.0,Avtomat,Tam,196000,33 800 AZN
202,BMW X5,2008,4.8,Benzin,360.0,Avtomat,Tam,167438,30 900 AZN
203,Hyundai Sonata,2007,2.0,Benzin,150.0,Avtomat,Ön,230000,15 700 AZN
204,Mercedes E 220,2016,2.2,Dizel,170.0,Avtomat,Arxa,195000,27 500 USD
205,BMW 528,2013,2.0,Benzin,245.0,Avtomat,Arxa,255555,13 000 AZN
206,Renault Megane,2009,1.5,Dizel,110.0,Mexaniki,Ön,273000,7 900 AZN
207,BMW 528,2014,2.0,Benzin,245.0,Avtomat,Arxa,106000,22 700 USD
208,BMW 528,2015,2.0,Benzin,245.0,Avtomat,Arxa,153000,33 500 AZN
209,Land Rover Range Rover,2015,3.0,Dizel,248.0,Avtomat,Arxa,143000,54 700 USD
210,LADA (VAZ) 2106,1999,1.6,Benzin,75.0,Mexaniki,Arxa,99000,6 500 AZN
211,Chevrolet Cruze,2012,1.4,Benzin,141.0,Avtomat,Ön,189032,12 200 AZN
212,Ford Transit,2007,2.4,Dizel,140.0,Mexaniki,Arxa,154000,33 500 AZN
213,Toyota Prius,2005,1.5,Hibrid,76.0,Variator,Ön,340000,10 500 AZN
214,Kia Optima,2019,1.6,Benzin,178.0,Avtomat,Ön,64374,31 900 AZN
215,Lexus NX 300,2021,2.0,Benzin,238.0,Avtomat,Ön,43266,44 700 USD
216,Mitsubishi L200,2019,2.4,Dizel,154.0,Avtomat,Tam,136169,51 000 AZN
217,Polestones 01,2024,1.5,Plug-in Hibrid,476.0,Avtomat,Tam,0,55 500 USD
218,Mitsubishi L200,2023,2.4,Dizel,154.0,Mexaniki,Tam,0,31 740 USD
219,Hyundai Tucson,2008,2.0,Benzin,141.0,Avtomat,Tam,161000,14 900 AZN
220,Mercedes V 250,2023,2.0,Dizel,197.0,Avtomat,Arxa,0,77 428 EUR
221,BMW 525,2006,2.5,Benzin,218.0,Avtomat,Arxa,157500,19 900 AZN
222,Shacman F3000,2012,9.7,Dizel,336.0,Mexaniki,Arxa,470000,59 000 AZN
223,Kia Sorento,2016,2.0,Dizel,184.0,Avtomat,Tam,109000,41 900 AZN
224,BMW 530,2017,2.0,Benzin,252.0,Avtomat,Arxa,69900,36 900 USD
225,Chevrolet Cruze,2015,1.4,Benzin,141.0,Avtomat,Ön,81000,16 800 AZN
226,Toyota Camry,2018,2.5,Benzin,202.0,Avtomat,Ön,123000,26 700 USD
227,Opel Astra,2005,1.4,Benzin,90.0,Mexaniki,Ön,200000,11 500 AZN
228,BMW X7,2019,4.4,Benzin,530.0,Avtomat,Tam,51000,93 000 USD
229,Toyota Prius,2005,1.5,Hibrid,76.0,Variator,Ön,340000,10 500 AZN
230,Kia Optima,2019,1.6,Benzin,178.0,Avtomat,Ön,64374,31 900 AZN
231,Lexus NX 300,2021,2.0,Benzin,238.0,Avtomat,Ön,43266,44 700 USD
232,Mitsubishi L200,2019,2.4,Dizel,154.0,Avtomat,Tam,136169,51 000 AZN
233,Honda Insight,2012,1.3,Hibrid,88.0,Variator,Ön,194000,14 600 AZN
234,LADA (VAZ) 2107,2005,1.6,Benzin,75.0,Mexaniki,Arxa,99000,3 850 AZN
235,Land Rover Range Rover,2016,3.0,Benzin,340.0,Avtomat,Tam,150000,51 700 USD
236,LADA (VAZ) 2106,1981,1.5,Benzin,65.0,Mexaniki,Arxa,99000,2 700 AZN
237,Mercedes Atego 816,2007,4.3,Dizel,177.0,Mexaniki,Arxa,670000,36 800 AZN
238,Land Rover RR Evoque,2014,2.0,Benzin,240.0,Avtomat,Tam,185000,40 000 AZN
239,Land Rover Range Rover,2019,3.0,Benzin,400.0,Avtomat,Tam,43000,77 000 USD
240,Chevrolet Cruze,2014,1.4,Benzin,140.0,Avtomat,Ön,241000,14 200 AZN
241,Kia Carnival,2023,2.2,Dizel,202.0,Avtomat,Ön,0,87 900 AZN
242,BMW 530e,2022,2.0,Plug-in Hibrid,292.0,Avtomat,Arxa,2575,58 500 USD
243,Kia Cerato,2023,2.0,Benzin,150.0,Avtomat,Ön,0,42 900 AZN
244,BMW 328,2015,2.0,Benzin,245.0,Avtomat,Arxa,103750,29 500 AZN
245,Hyundai Matrix,2007,1.5,Dizel,102.0,Mexaniki,Ön,204500,10 900 AZN
246,BMW 328,2014,2.0,Dizel,184.0,Avtomat,Arxa,171000,28 700 AZN
247,BMW 530,2017,2.0,Benzin,249.0,Avtomat,Arxa,83000,31 800 USD
248,IM LS7,2024,,Elektro,578.0,Reduktor,Tam,0,64 700 USD
249,Chevrolet Cruze,2014,1.4,Benzin,141.0,Avtomat,Ön,281000,14 500 AZN
250,Toyota Land Cruiser,2023,3.3,Dizel,300.0,Avtomat,Tam,0,89 540 USD
251,Hyundai Elantra,2016,2.0,Benzin,150.0,Avtomat,Ön,96300,22 700 AZN
252,VGV U70 Pro,2024,1.5,Benzin,156.0,Avtomat,Ön,0,35 500 AZN
253,Peugeot 5008,2022,2.0,Dizel,150.0,Avtomat,Ön,0,54 900 AZN
254,Li Auto L7,2023,1.5,Plug-in Hibrid,450.0,Avtomat,Tam,0,52 500 USD
255,LADA (VAZ) Niva,2013,1.7,Benzin,80.0,Mexaniki,Tam,176000,11 800 AZN
256,ZEEKR 001,2024,,Elektro,544.0,Reduktor,Tam,0,57 900 USD
257,Mercedes E 300,2016,2.0,Benzin,245.0,Avtomat,Arxa,159000,32 700 USD
258,BMW 535,2012,3.0,Benzin,306.0,Avtomat,Tam,125000,21 700 USD
259,Toyota Prius C,2015,1.5,Hibrid,73.0,Variator,Ön,34500,18 500 AZN
260,Honda e:NS1,2022,,Elektro,150.0,Reduktor,Tam,0,21 600 USD
261,Nissan Note,2018,1.2,Hibrid,98.0,Avtomat,Ön,43000,18 200 AZN
262,BMW 320,2014,2.0,Benzin,184.0,Avtomat,Arxa,241402,32 000 AZN
263,Hyundai Sonata,2021,2.0,Hibrid,190.0,Avtomat,Ön,48000,21 300 USD
264,Hyundai Santa Fe,2016,2.0,Dizel,184.0,Avtomat,Ön,197000,35 700 AZN
265,BMW 530,2017,2.0,Benzin,249.0,Avtomat,Arxa,83000,31 800 USD
266,IM LS7,2024,,Elektro,578.0,Reduktor,Tam,0,64 700 USD
267,Chevrolet Cruze,2014,1.4,Benzin,141.0,Avtomat,Ön,281000,14 500 AZN
268,Toyota Land Cruiser,2023,3.3,Dizel,300.0,Avtomat,Tam,0,89 540 USD
269,Hyundai Elantra,2016,2.0,Benzin,150.0,Avtomat,Ön,96300,22 700 AZN
270,VGV U70 Pro,2024,1.5,Benzin,156.0,Avtomat,Ön,0,35 500 AZN
271,Mitsubishi L200,2019,2.4,Dizel,154.0,Avtomat,Tam,170000,53 000 AZN
272,LADA (VAZ) 21099,1999,1.6,Benzin,81.0,Mexaniki,Ön,200000,3 800 AZN
273,Toyota Prius C,2013,1.5,Hibrid,73.0,Variator,Ön,130000,18 400 AZN
274,Toyota RAV4,2020,2.0,Benzin,175.0,Avtomat,Ön,88000,53 000 AZN
275,Mitsubishi Airtrek,2001,2.4,Benzin,160.0,Avtomat,Ön,304000,6 800 AZN
276,GAZ 3110,2004,2.4,Benzin,100.0,Mexaniki,Arxa,280000,4 500 AZN
277,Hyundai Sonata,2009,2.0,Benzin,163.0,Avtomat,Ön,200000,17 500 AZN
278,Ford Fusion (North America),2017,2.0,Benzin,240.0,Avtomat,Ön,110000,28 700 AZN
279,Kia Sportage,2014,2.0,Dizel,184.0,Avtomat,Ön,222000,27 100 AZN
280,Dodge Journey,2008,2.0,Dizel,162.0,Avtomat,Ön,268000,12 300 AZN
281,BMW X5,2008,4.8,Benzin,355.0,Avtomat,Tam,187500,35 200 AZN
282,ZEEKR 001,2023,,Elektro,544.0,Reduktor,Arxa,0,52 485 USD
283,LADA (VAZ) 2105,2007,1.5,Benzin,65.0,Mexaniki,Arxa,50000,5 900 AZN
284,BMW 520,2015,2.0,Dizel,184.0,Avtomat,Arxa,243000,36 500 AZN
285,Kia Sorento,2016,2.0,Dizel,184.0,Avtomat,Tam,191387,35 500 AZN
286,Ford Transit,2007,2.4,Dizel,140.0,Mexaniki,Arxa,155000,33 800 AZN
287,Toyota Prius,2010,1.8,Hibrid,99.0,Variator,Ön,363712,16 300 AZN
288,Land Rover Range Rover,2019,3.0,Dizel,248.0,Avtomat,Tam,112100,94 500 USD
289,Forthing T5 EVO,2024,1.5,Hibrid,192.0,Avtomat,Ön,0,45 900 AZN
