ID,Model,Year,Engine_Volume,Engine_Type,Horse_Power,Gearbox,Transmitter,Mileage,Price
4429,Mercedes V 250,2023,2.0,Dizel,190.0,Avtomat,Arxa,0,77 700 USD
4430,Lotus Eletre,2023,,Elektro,612.0,Reduktor,Tam,0,136 000 USD
4431,Baic X55 II,2023,1.5,Benzin,188.0,Robot,Ön,0,45 900 AZN
4432,Toyota Land Cruiser Prado,2013,2.7,Benzin,163.0,Avtomat,Tam,154607,57 540 AZN
4433,Mercedes S 350,2010,3.5,Benzin,272.0,Avtomat,Arxa,131000,21 000 USD
4434,Tesla Model S,2017,,Elektro,762.0,Reduktor,Tam,86905,49 500 USD
4435,Mercedes C 300,2015,2.0,Benzin,245.0,Avtomat,Arxa,96200,37 500 AZN
4436,Mercedes Vito 115,2008,2.2,Dizel,150.0,Mexaniki,Arxa,262000,22 999 AZN
4437,Nissan March,2012,1.2,Benzin,79.0,Avtomat,Ön,95785,12 300 AZN
4438,BMW 328,2015,2.0,Benzin,245.0,Avtomat,Arxa,180000,20 000 USD
4439,Tesla Model 3,2022,,Elektro,449.0,Reduktor,Tam,56000,32 500 USD
4440,Land Rover RR Evoque,2014,2.0,Benzin,240.0,Avtomat,Tam,156000,22 800 USD
4441,BMW 750,2010,4.4,Benzin,404.0,Avtomat,Arxa,211000,23 900 AZN
4442,Mercedes E 220 d,2010,2.2,Dizel,170.0,Avtomat,Arxa,177000,25 900 AZN
4443,Hyundai Grandeur,2012,2.4,Benzin,180.0,Avtomat,Ön,144000,26 700 AZN
4444,Kia Rio,2012,1.1,Dizel,75.0,Mexaniki,Ön,217000,13 900 AZN
4445,Mercedes Sprinter 315,2007,2.2,Dizel,125.0,Mexaniki,Arxa,187000,35 400 AZN
4446,Hyundai Sonata,2021,1.6,Benzin,132.0,Avtomat,Ön,6400,26 700 USD
4447,Hyundai Veloster,2017,1.6,Benzin,132.0,Avtomat,Ön,93000,24 900 AZN
4448,Mercedes E 220 d,2001,2.2,Dizel,143.0,Avtomat,Arxa,450000,10 500 AZN
4449,Mercedes C 240,2000,2.4,Benzin,170.0,Avtomat,Arxa,300214,11 200 AZN
4450,Hyundai Elantra,2020,2.0,Benzin,150.0,Avtomat,Ön,85000,25 900 AZN
4451,Kia Sorento,2014,2.0,Dizel,184.0,Avtomat,Ön,176000,32 900 AZN
4452,Land Rover RR Sport,2016,3.0,Dizel,306.0,Avtomat,Tam,106000,42 500 USD
4453,Hyundai Sonata,2021,1.6,Benzin,180.0,Avtomat,Ön,2640,27 700 USD
4454,Toyota Camry,2005,2.4,Benzin,152.0,Avtomat,Ön,450000,10 000 AZN
4455,Mercedes E 240,2003,2.4,Benzin,170.0,Avtomat,Arxa,333500,16 500 AZN
4456,Hyundai Sonata,2015,2.0,Benzin,245.0,Avtomat,Ön,166000,26 700 AZN
4457,Mercedes Vito 111,2010,2.2,Dizel,110.0,Mexaniki,Arxa,239000,28 400 AZN
4458,Toyota Corolla,2011,1.6,Dizel,124.0,Mexaniki,Ön,205000,20 000 AZN
